#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   1.61149  0.57481 -0.04765      NaN  0.000000  0.000000  0.000000       NaN
   1.62218  0.58547 -0.04681      NaN  0.000000  0.000000  0.000000       NaN
   1.63287  0.59613 -0.04595      NaN  0.000000  0.000000  0.000000       NaN
   1.64357  0.60679 -0.04507      NaN  0.000000  0.000000  0.000000       NaN
   1.65428  0.61746 -0.04417      NaN  0.000000  0.000000  0.000000       NaN
   1.66499  0.62814 -0.04326      NaN  0.000000  0.000000  0.000000       NaN
   1.67571  0.63881 -0.04232      NaN  0.000000  0.000000  0.000000       NaN
   1.68643  0.64949 -0.04137      NaN  0.000000  0.000000  0.000000       NaN
   1.69716  0.66017 -0.04040      NaN  0.000000  0.000000  0.000000       NaN
   1.70788  0.67086 -0.03941      NaN  0.000000  0.000000  0.000000       NaN
   1.71862  0.68154 -0.03841      NaN  0.000000  0.000000  0.000000       NaN
   1.72935  0.69223 -0.03739      NaN  0.000000  0.000000  0.000000       NaN
   1.74009  0.70292 -0.03635      NaN  0.000000  0.000000  0.000000       NaN
   1.75083  0.71361 -0.03530      NaN  0.000000  0.000000  0.000000       NaN
   1.76158  0.72430 -0.03423      NaN  0.000000  0.000000  0.000000       NaN
   1.77232  0.73499 -0.03315      NaN  0.000000  0.000000  0.000000       NaN
   1.78307  0.74568 -0.03205      NaN  0.000000  0.000000  0.000000       NaN
   1.79382  0.75637 -0.03094      NaN  0.000000  0.000000  0.000000       NaN
   1.80456  0.76706 -0.02981      NaN  0.000000  0.000000  0.000000       NaN
   1.81531  0.77775 -0.02866      NaN  0.000000  0.000000  0.000000       NaN
   1.82606  0.78843 -0.02750      NaN  0.000000  0.000000  0.000000       NaN
   1.83681  0.79912 -0.02633      NaN  0.000000  0.000000  0.000000       NaN
   1.84756  0.80980 -0.02514      NaN  0.000000  0.000000  0.000000       NaN
   1.85831  0.82048 -0.02394      NaN  0.000000  0.000000  0.000000       NaN
   1.86905  0.83115 -0.02272      NaN  0.000000  0.000000  0.000000       NaN
